il_kodu,il_adi,toplam_nufus,erkek_nufus,kadin_nufus,medyan_yas,nufus_yogunluk,nufus_artis_hizi,veri_yili
1,Adana,2283609,1141614,1141995,34.5,169.6,1.4,2025
2,Adıyaman,617821,312881,304940,30.4,82.7,11.0,2025
3,Afyonkarahisar,751808,376802,375006,36.4,54.7,2.2,2025
4,Ağrı,491489,254223,237266,25.1,43.6,-16.8,2025
5,Aksaray,441136,220441,220695,33.6,61.1,3.8,2025
6,Amasya,342242,172102,170140,40.5,60.6,-0.4,2025
7,Ankara,5910320,2911853,2998467,36.4,237.9,7.9,2025
8,Antalya,2777677,1397014,1380663,36.8,135.2,20.2,2025
9,Ardahan,90392,47059,43333,36.5,18.6,-10.6,2025
10,Artvin,167531,83906,83625,42.5,23.3,-10.4,2025
11,Aydın,1172107,580536,591571,40.4,145.8,5.3,2025
12,Balıkesir,1284517,638871,645646,42.7,90.8,6.6,2025
13,Bartın,206663,102394,104269,41.9,90.8,-0.3,2025
14,Batman,662626,335382,327244,25.9,147.5,12.3,2025
15,Bayburt,82836,41998,40838,33.4,22.4,-10.1,2025
16,Bilecik,228995,115833,113162,37.6,54.2,2.2,2025
17,Bingöl,282299,141831,140468,31.1,35.1,-3.5,2025
18,Bitlis,360423,186601,173822,26.4,55.2,1.7,2025
19,Bolu,327173,162989,164184,38.8,39.7,2.3,2025
20,Burdur,277226,139689,137537,39.7,40.4,5.1,2025
21,Bursa,3263011,1628212,1634799,36.8,314.3,7.5,2025
22,Çanakkale,573976,284409,289567,42.0,58.1,8.8,2025
23,Çankırı,200549,100567,99982,40.3,26.4,2.8,2025
24,Çorum,519590,258085,261505,41.3,41.9,-3.4,2025
25,Denizli,1060975,526573,534402,38.8,88.2,-0.4,2025
26,Diyarbakır,1852356,935763,916593,26.7,123.7,10.1,2025
27,Düzce,415622,207675,207947,36.8,168.0,7.9,2025
28,Edirne,422438,212403,210035,41.8,69.2,2.8,2025
29,Elazığ,605678,299091,306587,35.7,68.9,2.9,2025
30,Erzincan,239625,121927,117698,36.1,20.7,-6.7,2025
31,Erzurum,736877,366932,369945,31.5,29.5,-11.0,2025
32,Eskişehir,927956,461180,466776,38.6,66.5,6.8,2025
33,Gaziantep,2222415,1119557,1102858,27.5,329.2,13.2,2025
34,Giresun,455074,227438,227636,43.5,65.5,-3.6,2025
35,Gümüşhane,138807,69599,69208,37.3,20.9,-21.5,2025
36,Hakkari,279681,146241,133440,26.8,39.2,-8.9,2025
37,Hatay,1577531,797385,780146,32.2,283.5,9.8,2025
38,Iğdır,205071,105907,99164,28.7,56.8,-8.7,2025
39,Isparta,445303,219724,225579,38.9,54.6,-2.5,2025
40,İstanbul,15754053,7851344,7902709,35.0,2943.4,3.3,2025
41,İzmir,4504185,2227738,2276447,39.5,376.3,2.4,2025
42,Kahramanmaraş,1146278,584074,562204,31.9,80.5,10.7,2025
43,Karabük,249614,126021,123593,39.5,62.1,-3.5,2025
44,Karaman,262355,130905,131450,35.6,30.3,-1.7,2025
45,Kars,268991,138282,130709,30.4,26.4,-12.2,2025
46,Kastamonu,379934,188390,191544,43.3,28.9,-5.4,2025
47,Kayseri,1458991,728836,730155,34.9,85.3,4.5,2025
48,Kilis,157363,79727,77636,28.4,111.9,4.0,2025
49,Kırıkkale,282830,142104,140726,38.4,59.9,-0.8,2025
50,Kırklareli,379595,191878,187717,41.6,59.3,1.5,2025
51,Kırşehir,242777,120876,121901,38.6,37.9,-7.3,2025
52,Kocaeli,2161171,1088753,1072418,34.4,632.5,14.5,2025
53,Konya,2343409,1163850,1179559,33.8,59.2,5.7,2025
54,Kütahya,570478,281375,289103,40.3,48.7,-1.1,2025
55,Malatya,755854,378686,377168,36.0,62.8,7.1,2025
56,Manisa,1477756,741193,736563,38.3,111.1,1.6,2025
57,Mardin,903576,453777,449799,25.9,103.0,8.5,2025
58,Mersin,1956428,977092,979336,35.9,122.3,1.1,2025
59,Muğla,1099547,558628,540919,40.6,88.6,16.2,2025
60,Muş,389127,197610,191517,25.3,45.1,-8.1,2025
61,Nevşehir,320150,157815,162335,36.6,58.1,6.9,2025
62,Niğde,374492,187502,186990,34.5,52.3,4.8,2025
63,Ordu,768087,382776,385311,41.6,130.5,-3.4,2025
64,Osmaniye,564123,283982,280141,33.3,170.1,5.4,2025
65,Rize,346947,173549,173398,40.1,88.1,-0.1,2025
66,Sakarya,1123693,563586,560107,36.0,234.2,11.6,2025
67,Samsun,1392403,689283,703120,38.8,146.3,7.2,2025
68,Şanlıurfa,2265800,1142783,1123017,21.8,117.8,12.5,2025
69,Siirt,332369,169048,163321,25.0,59.0,-12.2,2025
70,Sinop,225848,112226,113622,44.0,40.0,-4.9,2025
71,Şırnak,573666,296986,276680,23.3,79.7,5.0,2025
72,Sivas,631401,315268,316133,36.9,22.3,-8.8,2025
73,Tekirdağ,1208441,615806,592635,36.0,194.3,17.8,2025
74,Tokat,614141,305975,308166,39.9,60.6,2.4,2025
75,Trabzon,823323,408242,415081,39.2,176.4,1.3,2025
76,Tunceli,85083,44420,40663,40.7,11.2,-17.8,2025
77,Uşak,374405,185487,188918,39.6,66.7,-2.4,2025
78,Van,1112013,566544,545469,26.1,59.5,-5.4,2025
79,Yalova,311635,155593,156042,37.5,394.9,12.1,2025
80,Yozgat,413208,208491,204717,38.4,30.8,0.1,2025
81,Zonguldak,585203,290246,294957,42.3,172.8,-2.7,2025
